"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"109",5.16195928822021e-95,1.45688274939246,1,0.253,8.87340801645054e-91,"10","Nkg7"
"110",1.11932346268927e-68,2.80371176092348,0.489,0.079,1.92411703236285e-64,"10","Gzmc"
"111",0,2.08518666551977,0.697,0.028,0,"11","Ear2"
"112",3.52721557297619e-165,1.10274742930936,0.697,0.063,6.06328356994608e-161,"11","Fcrls"
"113",5.16721249905373e-124,1.19640546212129,0.68,0.08,8.88243828587336e-120,"11","Mgl2"
"114",4.91335670721437e-119,3.63806640156148,0.77,0.125,8.44606017970151e-115,"11","Retnla"
"115",2.23202671667738e-115,1.98598599731118,0.877,0.168,3.83685392596842e-111,"11","Fn1"
"116",4.00645673522733e-67,1.08828798216621,0.77,0.197,6.88709912785578e-63,"11","Clec4b1"
"117",1.97510748204998e-66,1.61700063514389,1,0.846,3.39520976164392e-62,"11","Crip1"
"118",3.32036145408673e-58,2.21569133470181,0.533,0.109,5.70770133957509e-54,"11","Lyz1"
"119",2.38256202759267e-44,1.18570915006476,0.639,0.185,4.09562412543179e-40,"11","Tppp3"
"120",3.73461796461427e-26,1.14609577496847,0.361,0.09,6.41980828117194e-22,"11","Ccl24"
"121",0,1.61091983135542,0.769,0.026,0,"12","Izumo1r"
"122",1.81874412152238e-186,2.21705326577833,0.99,0.115,3.12642114489697e-182,"12","Tnfrsf4"
"123",2.44623808385716e-170,1.99930955005552,0.981,0.129,4.20508326615046e-166,"12","Ikzf2"
"124",2.87617379483107e-155,1.49677863345407,0.894,0.106,4.94414275331461e-151,"12","Icos"
"125",5.00099475732602e-136,1.62085867460382,0.875,0.12,8.59670998784342e-132,"12","Ctla4"
"126",6.17383550778555e-124,1.632660549136,0.971,0.165,1.06128232378834e-119,"12","Cd2"
"127",3.84475744375464e-123,1.76102473891332,0.962,0.167,6.60913804581422e-119,"12","Tnfrsf18"
"128",6.09729101146686e-107,1.74499913493925,0.981,0.192,1.04812432487115e-102,"12","Ltb"
"129",5.72694732377496e-95,1.45855168735664,0.923,0.177,9.84462244956915e-91,"12","Gimap4"
"130",2.45068034021743e-82,1.4594713937349,0.952,0.209,4.21271950483377e-78,"12","Ptprcap"
"131",3.52258650224328e-91,1.49564302160565,0.952,0.183,6.0553261973562e-87,"13","Rab38"
"132",1.71640453061811e-68,1.53031445465296,0.988,0.243,2.95049938813253e-64,"13","Cryab"
"133",1.6509110441915e-66,1.95911066265516,1,0.304,2.83791608496519e-62,"13","Mlana"
"134",1.03520904721012e-50,1.25604968604693,0.783,0.19,1.7795243521542e-46,"13","Pmel"
"135",8.70300340242671e-47,1.48688875697105,0.964,0.466,1.49604628487715e-42,"13","Chchd10"
"136",5.44478699169407e-45,1.41186655192678,1,0.623,9.35958883872211e-41,"13","Hspd1"
"137",6.40000724805006e-45,1.42231144185405,0.928,0.309,1.10016124593981e-40,"13","Tyrp1"
"138",1.10527045915054e-39,1.30635171733296,0.988,0.886,1.89995991927977e-35,"13","Dbi"
"139",1.2078686576328e-39,1.6609105242882,0.892,0.43,2.07632622247078e-35,"13","Cbx3"
"140",3.4690891229137e-39,1.36466067570813,0.675,0.195,5.96336420228865e-35,"13","Bhlhe41"
"141",0,3.78841686861516,0.802,0.02,0,"14","Col1a1"
"142",0,3.7860781037626,0.815,0.023,0,"14","Col3a1"
"143",0,3.31711542878091,0.716,0.015,0,"14","Dcn"
"144",0,3.29398983710658,0.79,0.017,0,"14","Rarres2"
"145",0,3.19825525386547,0.84,0.019,0,"14","Bgn"
"146",9.51421030103395e-258,3.83936529919958,1,0.065,1.63549275074774e-253,"14","Igfbp7"
"147",2.54013320879329e-198,3.71213171054895,0.827,0.056,4.36648898591567e-194,"14","Col1a2"
"148",3.82321329993677e-169,2.95767339870534,0.556,0.027,6.57210366259132e-165,"14","Acta2"
"149",2.3898088300386e-104,3.88094621210268,1,0.205,4.10808137883636e-100,"14","Sparc"
"150",8.77157468422539e-74,2.99559562551176,0.765,0.137,1.50783368821834e-69,"14","Timp1"
"151",0,3.1082767428453,0.897,0.007,0,"15","Ly6d"
"152",0,2.97665345932285,0.846,0.002,0,"15","Klk1"
"153",0,2.71202035847452,1,0.004,0,"15","Siglech"
"154",0,2.42616056263671,1,0.003,0,"15","Ccr9"
"155",2.63260842889393e-74,2.35625325834253,1,0.125,4.52545388926866e-70,"15","Rnase6"
"156",5.15587417983132e-45,2.18503033371545,0.718,0.094,8.86294771513004e-41,"15","Slpi"
"157",1.42448158655044e-34,2.53858754441742,1,0.384,2.44868384728021e-30,"15","Dnajc7"
"158",6.47520812811684e-29,2.17011490223318,0.974,0.345,1.11308827722328e-24,"15","Ly6c2"
"159",3.4538616955414e-27,2.32066943848512,1,0.68,5.93718825463566e-23,"15","Irf8"
"160",2.45476161330275e-26,2.22453683659343,1,0.842,4.21973521326742e-22,"15","Bst2"
"161",0,4.04707540636074,1,0.001,0,"16","Alas2"
"162",1.0099723050499e-147,6.85711503741176,1,0.018,1.73614239238078e-143,"16","Hbb-bt"
"163",3.36731548564641e-116,6.69504021116861,1,0.024,5.78841531982619e-112,"16","Hba-a2"
"164",8.50734059808003e-113,7.09295664149801,1,0.025,1.46241184880996e-108,"16","Hba-a1"
"165",1.66605997968434e-28,3.26183167016329,0.923,0.097,2.86395710507738e-24,"16","Snca"
"166",1.2825886950875e-26,8.03673013065855,1,0.129,2.20476996685542e-22,"16","Hbb-bs"
"167",3.35878263422797e-20,2.82757410436108,1,0.184,5.77374734823789e-16,"16","Bpgm"
"168",1.615514552629e-18,2.55723131039266,1,0.203,2.77706951596925e-14,"16","Fech"
"169",3.87076698911825e-17,2.63447561647493,1,0.232,6.65384845429426e-13,"16","Ube2l6"
"170",3.82620990739432e-10,2.4123212845574,1,0.805,6.57725483081083e-06,"16","Mkrn1"
