"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"93",0,1.3072319210595,0.65,0.003,0,"9","Ncr1"
"94",1.89221293947144e-265,2.10989791171452,0.708,0.042,3.2527140429514e-261,"9","Xcl1"
"95",3.40299644436559e-215,3.52897226703446,0.569,0.034,5.84975088786445e-211,"9","Gzma"
"96",8.91333138767324e-175,1.45279455651006,0.854,0.107,1.53220166554103e-170,"9","Klre1"
"97",8.06623977857208e-141,1.42098977600662,0.891,0.143,1.38658661793654e-136,"9","Ctsw"
"98",4.02230696555394e-127,1.29728002044322,0.883,0.161,6.91434567378723e-123,"9","Gimap6"
"99",1.2411903952302e-98,1.60035811104391,0.832,0.189,2.13360628940071e-94,"9","Ctla2a"
"100",1.74826863603688e-60,2.52232097508283,0.467,0.081,3.0052737853474e-56,"9","Gzmc"
"101",0,1.98240455433857,0.696,0.031,0,"10","Ear2"
"102",2.03191015194502e-130,0.984153977167958,0.644,0.073,3.4928535511935e-126,"10","Fcrls"
"103",3.58219630273641e-122,1.91773111987405,0.8,0.134,6.1577954444039e-118,"10","Fn1"
"104",6.34192330430405e-122,3.27715489516699,0.719,0.109,1.09017661600987e-117,"10","Retnla"
"105",6.50862226759335e-107,1.201859720553,0.652,0.09,1.1188321677993e-102,"10","Mgl2"
"106",1.40209139331825e-68,1.43411828595289,1,0.892,2.41019510511408e-64,"10","Crip1"
"107",1.32096174063438e-60,1.00606753306332,0.77,0.225,2.2707332321505e-56,"10","Clec4b1"
"108",2.24551349419961e-54,2.05588313732142,0.533,0.121,3.86003769652914e-50,"10","Lyz1"
"109",1.02909681002627e-35,1.06811012197383,0.607,0.202,1.76901741643516e-31,"10","Tppp3"
"110",2.02098211770184e-20,1.00858896311153,0.341,0.101,3.47406826032946e-16,"10","Ccl24"
"111",0,3.15878884272831,0.992,0.045,0,"11","Ccr7"
"112",0,3.1224509017361,0.916,0.011,0,"11","Fscn1"
"113",0,2.62240959814205,0.786,0.015,0,"11","Ccl22"
"114",0,2.07138945206961,0.786,0.027,0,"11","Ramp3"
"115",0,2.03965620755586,0.969,0.047,0,"11","Socs2"
"116",1.8332409360973e-123,2.25733696471912,0.878,0.178,3.15134116915125e-119,"11","Serpinb6b"
"117",2.12118487449548e-102,2.42199336946823,1,0.414,3.64631679925773e-98,"11","Tmem123"
"118",7.2069542006179e-84,1.90977968939742,1,0.544,1.23887542708622e-79,"11","Lsp1"
"119",2.33675033643017e-66,2.20478206212045,0.969,0.464,4.01687382832345e-62,"11","Ccl5"
"120",3.28347799314148e-63,1.89527370905177,0.992,0.969,5.6442986702102e-59,"11","Cst3"
"121",0,3.10716690079274,0.897,0.006,0,"12","Ly6d"
"122",0,2.97639930224812,0.846,0.002,0,"12","Klk1"
"123",0,2.7105748684798,1,0.004,0,"12","Siglech"
"124",0,2.42525103678851,1,0.004,0,"12","Ccr9"
"125",0,2.12826689739767,0.949,0.015,0,"12","Smim5"
"126",9.94903591932439e-121,2.13879885405123,0.897,0.055,1.71023927453186e-116,"12","Cox6a2"
"127",3.04655144054163e-65,2.31523476323614,1,0.145,5.23702192629107e-61,"12","Rnase6"
"128",5.06267028345049e-37,2.52526115207382,1,0.338,8.7027302172514e-33,"12","Dnajc7"
"129",1.72297090653891e-26,2.191225755724,1,0.771,2.96178698834038e-22,"12","Irf8"
"130",3.02261753149413e-26,2.14973735900032,1,0.847,5.19587953663841e-22,"12","Bst2"
"131",0,4.04630538285992,1,0.001,0,"13","Alas2"
"132",7.66834103538943e-171,3.32699286372382,0.923,0.013,1.31818782398344e-166,"13","Snca"
"133",4.91305442305994e-162,6.84106284327029,1,0.016,8.44554055324004e-158,"13","Hbb-bt"
"134",3.73830618547125e-132,6.68045065435614,1,0.02,6.42614833282508e-128,"13","Hba-a2"
"135",1.23164160852198e-127,7.07248628066915,1,0.021,2.11719192504928e-123,"13","Hba-a1"
"136",2.92565900838413e-41,2.89850186021134,1,0.076,5.02920783541232e-37,"13","Bpgm"
"137",4.25885878097725e-29,7.98506049423051,1,0.115,7.3209782444999e-25,"13","Hbb-bs"
"138",1.01434121452775e-27,2.58858593705352,1,0.119,1.74365254777321e-23,"13","Fech"
"139",1.66595563544733e-16,2.59614901992528,1,0.245,2.86377773733395e-12,"13","Ube2l6"
"140",3.59734467163739e-10,2.39842901179873,1,0.778,6.18383549054467e-06,"13","Mkrn1"
